date,open,high,low,close,volume,barCount,average
20201224  04:00:00,131.05,131.05,131.05,131.05,6,3,131.05
20201224  04:00:15,131.05,131.05,131.05,131.05,8,1,131.05
20201224  04:00:30,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:00:45,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:01:00,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:01:15,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:01:30,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:01:45,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:02:00,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:02:15,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:02:30,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:02:45,131.05,131.05,131.01,131.01,7,2,131.018
20201224  04:03:00,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:03:15,131.01,131.01,131.01,131.01,3,1,131.01
20201224  04:03:30,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:03:45,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:04:00,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:04:15,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:04:30,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:04:45,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:05:00,131.0,131.0,131.0,131.0,1,1,131.0
20201224  04:05:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:05:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:05:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:06:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:06:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:06:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:06:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:07:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:07:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:07:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:07:45,131.0,131.0,131.0,131.0,2,2,131.0
20201224  04:08:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:08:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:08:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:08:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:09:00,131.05,131.05,131.05,131.05,3,1,131.05
20201224  04:09:15,131.02,131.02,131.02,131.02,1,1,131.02
20201224  04:09:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:09:45,131.01,131.01,131.01,131.01,10,2,131.01
20201224  04:10:00,131.0,131.0,131.0,131.0,1,1,131.0
20201224  04:10:15,131.05,131.15,131.05,131.15,4,3,131.086
20201224  04:10:30,131.1,131.1,131.1,131.1,9,1,131.1
20201224  04:10:45,131.1,131.1,131.1,131.1,0,0,131.1
20201224  04:11:00,131.1,131.1,131.1,131.1,1,1,131.1
20201224  04:11:15,131.1,131.1,131.1,131.1,0,0,131.1
20201224  04:11:30,131.1,131.1,131.1,131.1,0,0,131.1
20201224  04:11:45,131.1,131.1,131.1,131.1,0,0,131.1
20201224  04:12:00,131.01,131.01,131.0,131.0,2,2,131.005
20201224  04:12:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:12:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:12:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:13:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:13:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:13:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:13:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:14:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:14:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:14:30,131.05,131.05,131.05,131.05,1,1,131.05
20201224  04:14:45,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:15:00,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:15:15,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:15:30,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:15:45,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:16:00,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:16:15,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:16:30,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:16:45,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:17:00,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:17:15,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:17:30,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:17:45,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:18:00,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:18:15,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:18:30,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:18:45,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:19:00,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:19:15,131.05,131.05,131.05,131.05,4,2,131.05
20201224  04:19:30,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:19:45,131.05,131.05,131.05,131.05,0,0,131.05
