date,open,high,low,close,volume,barCount,average
19801212,1.025,1.03,1.025,1.025,586292,1,1.02678571
19801215,0.975,0.98,0.975,0.975,219856,1,0.97321429
19801216,0.9,0.905,0.9,0.9,132160,1,0.90178571
19801217,0.925,0.93,0.925,0.925,108052,1,0.92414286
19801218,0.95,0.955,0.95,0.95,91812,1,0.95092857
19801219,1.01,1.015,1.01,1.01,60788,1,1.00892857
19801222,1.06,1.065,1.06,1.06,46704,1,1.05807143
19801223,1.105,1.105,1.105,1.105,58688,1,1.10271429
19801224,1.16,1.165,1.16,1.16,60004,1,1.16071429
19801226,1.27,1.275,1.27,1.27,69468,1,1.26785714
19801229,1.285,1.29,1.285,1.285,116452,1,1.28571429
19801230,1.255,1.26,1.255,1.255,86100,1,1.2545
19801231,1.22,1.225,1.22,1.22,44688,1,1.21878571
19810102,1.23,1.24,1.23,1.23,27076,1,1.23214286
19810105,1.205,1.21,1.205,1.205,44660,1,1.20535714
19810106,1.15,1.155,1.15,1.15,56448,1,1.15178571
19810107,1.105,1.105,1.105,1.105,69608,1,1.10271429
19810108,1.08,1.085,1.08,1.08,49784,1,1.08035714
19810109,1.14,1.145,1.14,1.14,26880,1,1.13842857
19810112,1.13,1.14,1.13,1.13,29624,1,1.1295
19810113,1.09,1.095,1.09,1.09,28812,1,1.08928571
19810114,1.095,1.1,1.095,1.095,17864,1,1.09378571
19810115,1.115,1.125,1.115,1.115,17584,1,1.11607143
19810116,1.105,1.11,1.105,1.105,16744,1,1.10714286
19810119,1.175,1.18,1.175,1.175,51968,1,1.17414286
19810120,1.14,1.145,1.14,1.14,37604,1,1.13842857
19810121,1.16,1.17,1.16,1.16,19880,1,1.16071429
19810122,1.175,1.185,1.175,1.175,44436,1,1.17414286
19810123,1.17,1.18,1.17,1.17,14028,1,1.16964286
19810126,1.15,1.155,1.15,1.15,30800,1,1.15178571
19810127,1.145,1.15,1.145,1.145,29624,1,1.14285714
19810128,1.105,1.11,1.105,1.105,35196,1,1.10714286
19810129,1.065,1.07,1.065,1.065,54880,1,1.067
19810130,1.01,1.02,1.01,1.01,57736,1,1.00892857
19810202,0.95,0.955,0.95,0.95,29708,1,0.95092857
19810203,0.985,0.99,0.985,0.985,23940,1,0.98664286
19810204,1.025,1.025,1.025,1.025,34832,1,1.02235714
19810205,1.025,1.03,1.025,1.025,9912,1,1.02235714
19810206,1.025,1.03,1.025,1.025,17332,1,1.02678571
19810209,0.975,0.98,0.975,0.975,20944,1,0.97321429
19810210,0.975,0.98,0.975,0.975,22932,1,0.97321429
19810211,0.94,0.945,0.94,0.94,17304,1,0.942
19810212,0.935,0.94,0.935,0.935,18200,1,0.93307143
19810213,0.91,0.92,0.91,0.91,13944,1,0.91071429
19810217,0.935,0.94,0.935,0.935,15344,1,0.93307143
19810218,0.975,0.98,0.975,0.975,24052,1,0.97321429
19810219,0.915,0.92,0.915,0.915,27888,1,0.91521429
19810220,0.865,0.87,0.865,0.865,30464,1,0.86607143
19810223,0.88,0.885,0.88,0.88,17640,1,0.8795
19810224,0.85,0.855,0.85,0.85,21224,1,0.84821429
19810225,0.9,0.905,0.9,0.9,24360,1,0.90178571
19810226,0.915,0.92,0.915,0.915,13552,1,0.91521429
19810227,0.945,0.955,0.945,0.945,18452,1,0.94642857
19810302,0.95,0.955,0.95,0.95,14700,1,0.95092857
19810303,0.94,0.94,0.94,0.94,20216,1,0.9375
19810304,0.93,0.935,0.93,0.93,17136,1,0.92857143
19810305,0.925,0.93,0.925,0.925,6720,1,0.92414286
19810306,0.915,0.925,0.915,0.915,14504,1,0.91521429
19810309,0.845,0.85,0.845,0.845,19152,1,0.84378571
19810310,0.805,0.81,0.805,0.805,35476,1,0.80357143
19810311,0.775,0.78,0.775,0.775,37324,1,0.77235714
19810312,0.805,0.81,0.805,0.805,74060,1,0.80357143
19810313,0.795,0.8,0.795,0.795,289128,1,0.79464286
19810316,0.825,0.835,0.825,0.825,46536,1,0.82592857
19810317,0.865,0.875,0.865,0.865,54684,1,0.86607143
19810318,0.92,0.93,0.92,0.92,46172,1,0.91964286
19810319,0.91,0.915,0.91,0.91,47264,1,0.91071429
19810320,0.92,0.93,0.92,0.92,18256,1,0.91964286
19810323,0.955,0.965,0.955,0.955,27524,1,0.95535714
19810324,0.95,0.955,0.95,0.95,35196,1,0.95092857
19810325,0.935,0.94,0.935,0.935,8820,1,0.93307143
19810326,0.915,0.92,0.915,0.915,15344,1,0.91521429
19810327,0.885,0.89,0.885,0.885,15316,1,0.88392857
19810330,0.885,0.895,0.885,0.885,12376,1,0.88392857
19810331,0.875,0.885,0.875,0.875,19992,1,0.875
19810401,0.865,0.87,0.865,0.865,42588,1,0.86607143
19810402,0.94,0.945,0.94,0.94,39256,1,0.942
19810403,0.945,0.95,0.945,0.945,20608,1,0.94642857
19810406,0.93,0.935,0.93,0.93,28504,1,0.92857143
19810407,0.92,0.925,0.92,0.92,13356,1,0.91964286
19810408,0.965,0.975,0.965,0.965,27440,1,0.96428571
19810409,0.98,0.985,0.98,0.98,15624,1,0.98214286
19810410,0.995,1.0,0.995,0.995,41832,1,0.99557143
19810413,0.995,1.0,0.995,0.995,20076,1,0.99557143
19810414,0.995,1.0,0.995,0.995,8316,1,0.99557143
19810415,0.945,0.95,0.945,0.945,42560,1,0.94642857
19810416,0.895,0.9,0.895,0.895,29848,1,0.89285714
19810420,0.92,0.925,0.92,0.92,44184,1,0.91964286
19810421,0.98,0.985,0.98,0.98,35672,1,0.98214286
19810422,1.02,1.025,1.02,1.02,23744,1,1.01785714
19810423,1.045,1.05,1.045,1.045,72520,1,1.04464286
19810424,1.035,1.045,1.035,1.035,43820,1,1.03571429
19810427,1.025,1.03,1.025,1.025,48160,1,1.02678571
19810428,1.01,1.015,1.01,1.01,40236,1,1.00892857
19810429,0.995,1.0,0.995,0.995,17052,1,0.99557143
19810430,1.015,1.025,1.015,1.015,15764,1,1.01342857
19810501,1.015,1.025,1.015,1.015,20692,1,1.01342857
19810504,1.01,1.015,1.01,1.01,18060,1,1.00892857
19810505,1.005,1.01,1.005,1.005,21924,1,1.0045
19810506,0.98,0.98,0.98,0.98,23688,1,0.97771429
19810507,0.99,0.995,0.99,0.99,11704,1,0.99107143
19810508,1.0,1.005,1.0,1.0,9884,1,1.0
19810511,0.98,0.98,0.98,0.98,14924,1,0.97771429
19810512,0.98,0.99,0.98,0.98,5320,1,0.97771429
19810513,0.975,0.985,0.975,0.975,6132,1,0.97321429
19810514,0.96,0.97,0.96,0.96,6160,1,0.95985714
19810515,0.98,0.995,0.98,0.98,6132,1,0.98214286
19810518,1.0,1.01,1.0,1.0,5208,1,1.0
19810519,0.98,0.985,0.98,0.98,31780,1,0.98214286
19810520,1.015,1.025,1.015,1.015,16604,1,1.01342857
19810521,1.07,1.075,1.07,1.07,40264,1,1.07142857
19810522,1.12,1.13,1.12,1.12,39284,1,1.12057143
19810526,1.115,1.12,1.115,1.115,106680,1,1.11607143
19810527,1.18,1.185,1.18,1.18,186872,1,1.17857143
19810528,1.18,1.185,1.18,1.18,92484,1,1.17857143
19810529,1.185,1.19,1.185,1.185,74228,1,1.18307143
19810601,1.185,1.19,1.185,1.185,64064,1,1.18307143
19810602,1.125,1.13,1.125,1.125,50540,1,1.125
19810603,1.125,1.135,1.125,1.125,49308,1,1.125
19810604,1.15,1.15,1.15,1.15,70084,1,1.14735714
19810605,1.13,1.135,1.13,1.13,72100,1,1.1295
19810608,1.09,1.095,1.09,1.09,116872,1,1.08928571
19810609,1.11,1.115,1.11,1.11,149492,1,1.11164286
19810610,1.125,1.14,1.125,1.125,31528,1,1.125
19810611,1.175,1.18,1.175,1.175,48720,1,1.17414286
19810612,1.16,1.165,1.16,1.16,32256,1,1.16071429
